2025-03-05,lápis,12,1.80
2025-03-05,caneta,5,2.50
2025-03-05,caderno,2,25.90
2025-03-06,clips,50,0.15
2025-03-06,borracha,8,0.50
2025-03-06,apontador,1,5.50
2025-03-07,lápis,20,1.80
2025-03-07,caneta,15,2.50
2025-03-07,caderno,5,25.90
2025-03-08,clips,100,0.15
2025-03-08,lápis,3,1.80
2025-03-09,caderno,12,25.90
2025-03-09,apontador,4,5.50
2025-03-09,borracha,15,0.50
2025-03-10,caneta,7,2.50
2025-03-10,clips,25,0.15
2025-03-10,lápis,9,1.80
2025-03-11,borracha,6,0.50
2025-03-11,caderno,3,25.90
2025-03-11,apontador,10,5.50
